acting	action	actor	actors	audience	back	bad	big	bit	cast	character	characters	comedy	completely	day	dialogue	director	doesn	effects	end	fact	film	find	fun	funny	girl	give	good	great	guy	hard	hollywood	home	interesting	john	kind	life	long	lot	love	make	man	minutes	money	movie	movies	original	part	people	performance	picture	place	plot	point	pretty	problem	real	reason	rest	role	scene	screen	script	sense	series	set	sex	show	special	star	story	supposed	takes	thing	time	watch	wife	woman	work	world	worst	year	years	young	american	black	city	death	ending	family	father	feel	high	job	men	mother	music	performances	TRUE	war	class
0.774646	0.774646	0.774646	0.774646	0.774646	0.774646	0	6.971816	1.549292	0	0.774646	0	0	0	0	0	0.774646	1.549292	0	0.774646	0	0.774646	0	0	0.774646	0	0.774646	0	0	0	0	0	0	0	6.971816	0	0.774646	1.549292	0.774646	0.774646	0	0.774646	0	0	2.323939	0.774646	0	0	0	0.774646	0	0	0.774646	0	0.774646	0	0.774646	0	0	1.549292	0.774646	0	0	0	0	0	0	0	0.774646	0	0	0	0	0	0.774646	0	0	0	2.323939	2.323939	0	0	0	0	0	0	0	0.774646	0	0	0	0	0	0	0	0.774646	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1.816706	0	0	0	0	0	0	3.633413	0	0	0	0	0	0	0	1.816706	0	0	0	0	0	0	0	0	0	0	0	0	0	1.816706	0	0	5.450119	3.633413	0	1.816706	0	0	0	0	0	0	0	0	0	0	1.816706	0	0	0	1.816706	0	0	0	0	0	0	0	0	0	0	0	3.633413	0	0	1.816706	0	0	0	0	1.816706	0	0	0	0	0	0	1.816706	0	0	0	0	0	0	0	0	0	0	0
1.45073	4.352189	0	0	0	0	1.45073	0	0	0	0	0	0	0	1.45073	0	1.45073	0	0	2.90146	0	1.45073	1.45073	0	0	0	0	0	0	0	1.45073	0	0	0	0	0	0	0	0	1.45073	0	1.45073	1.45073	0	0	0	0	0	0	0	1.45073	0	0	0	1.45073	1.45073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45073	0	0	0	1.45073	0	0	0	0	0	0	0	0	0	1.45073	0	0	1.45073	0	0	0	0	1.45073	0	0	0	0	0	0	0	0
0.351704	0	0.351704	0.703408	0	0	0.703408	0.351704	0	1.055111	1.055111	0.703408	0	0.351704	0	0	0	0.351704	0.351704	0	0	0.351704	0	0	0	0	0.703408	0	0	0	0	0	0	0	0	0	0	0	0.351704	0	0.351704	0	0.351704	0.351704	9.496002	0	0	0.703408	0	0	0.351704	0	0.703408	0	0	0	0.351704	0	0	0	1.406815	0	0	0	0	0	0	0	0.351704	0	0.703408	0	0	0.351704	0	0	0	0	0	0	0.351704	0	0	0	0	0	0	0.351704	0	0	0	0	0.351704	0	0	0	0.351704	0	0	0	0
0	0	0	0	0	0	1.291967	0	0	0	1.291967	3.875901	0	0	0	2.583934	0	1.291967	0	1.291967	0	5.167868	0	1.291967	0	0	1.291967	0	0	0	0	0	0	2.583934	0	1.291967	1.291967	0	1.291967	0	1.291967	0	1.291967	0	1.291967	0	0	0	0	0	0	0	0	1.291967	0	0	0	1.291967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.875901	1.291967	0	2.583934	0	0	0	0	0	0	0	3.875901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1.044925	0	1.044925	0	2.089851	0	0	0	0	0	0	0	0	0	2.089851	0	2.089851	3.134776	0	0	6.269552	0	0	0	0	0	0	0	1.044925	1.044925	1.044925	0	0	4.179701	0	0	0	1.044925	0	0	0	0	0	0	0	0	0	0	0	1.044925	0	1.044925	0	1.044925	1.044925	1.044925	0	0	0	0	0	0	0	0	1.044925	0	0	3.134776	0	1.044925	0	0	1.044925	0	0	0	0	3.134776	0	0	1.044925	0	0	1.044925	0	0	0	0	0	0	0	0	0	0	0	1.044925	0	0	0	0
0	1.366661	0	0	0	0	2.049992	0	0	0	0.683331	0.683331	0.683331	0	0	0	0	0.683331	0	0	1.366661	0	0	0	0	0.683331	0	1.366661	0	2.049992	0	0	0.683331	0	0	0	0	0	0	0.683331	0	0	2.049992	0	10.24996	0.683331	0	0	0.683331	0	0	0	0.683331	0	0.683331	0	0	0	0.683331	0.683331	0	0	0	0	0	0	1.366661	0	0	2.733323	0.683331	0	0	0.683331	0.683331	0	0.683331	0.683331	0	0	1.366661	0.683331	0	0	0	0.683331	0	0	0	0	0.683331	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.869682	0.869682	0.869682	0.869682	0.869682	0	0	0.869682	0	0.869682	0	1.739364	0.869682	0.869682	0.869682	1.739364	0	5.218092	0	0	0	0	0	0	1.739364	0	0.869682	0.869682	0	1.739364	0	0.869682	0	0.869682	1.739364	0	0	0	1.739364	0.869682	7.827138	0.869682	0	0.869682	0	0	0	0	1.739364	0	0	0	0	0	0	0	0.869682	0	0.869682	0	0	0	0	0	0	0	1.739364	0.869682	0.869682	0	0.869682	0	0	0	0.869682	0	0	0.869682	0	0	0	0	0	0	1.739364	0	0	0	0	0.869682	0	0	0	0	0	0	0
0	0	0	0	0	1.029558	0	2.059116	0	0	0	0	3.088674	0	0	0	0	0	0	7.206906	0	6.177348	0	0	0	0	0	1.029558	1.029558	0	0	0	0	0	0	0	0	0	0	0	2.059116	0	1.029558	0	1.029558	2.059116	0	2.059116	0	0	1.029558	0	0	0	0	0	0	1.029558	0	0	0	0	0	0	0	0	0	0	0	1.029558	0	0	0	0	0	0	0	0	2.059116	0	0	1.029558	0	0	0	0	0	0	1.029558	0	0	0	2.059116	1.029558	0	0	0	0	0	0	0
0	0	0	0.557638	0.557638	0	1.672915	8.922214	0	0	0.557638	2.230553	0	0	0	1.115277	0	1.115277	1.672915	0	0	3.34583	0.557638	0	0	0	0.557638	0	0.557638	1.115277	0	0	0	1.115277	0	0	0	0	0.557638	0	0	0	1.672915	0	2.230553	0	0	0	0.557638	0	1.115277	0	0	0	0	0	0	0	0	0	0.557638	0	0.557638	0	0	0	0	0	1.672915	0	1.115277	0	0	0	0	0	0	0	0.557638	0	0	0	0	2.788192	0	0	0	0	0	0.557638	0	0	0	0	0	2.230553	0	0	0	0	0
0	0.961748	0.961748	0	0	0.961748	0.961748	0	0	0	0.961748	0	0	0.961748	0	0	0	0.961748	0.961748	0	0	1.923496	0	0	0	0.961748	0.961748	0.961748	0	0.961748	0	0	0	1.923496	0.961748	0	0	0	0	0	0.961748	0.961748	0	0.961748	4.80874	0.961748	0	0	1.923496	0	0	0	0	0	0	0.961748	0	0	0	0	0	0	0	0	0	0.961748	0	0	0.961748	0	2.885244	0	0	0	0	0	0.961748	0	0.961748	1.923496	0.961748	0.961748	0.961748	0	0	0	0	0	0	0	0	0	0	0	0.961748	0	0	0	0	0	0
1.59615	0	0	0	0	0	0	1.59615	0	0	0	1.59615	0	0	0	1.59615	0	1.59615	0	0	1.59615	3.1923	0	0	0	0	0	1.59615	0	0	0	0	0	0	0	0	0	1.59615	0	0	1.59615	1.59615	0	1.59615	3.1923	0	0	0	0	1.59615	0	0	1.59615	0	0	0	0	1.59615	0	1.59615	0	0	0	3.1923	1.59615	0	0	0	0	0	1.59615	0	0	0	0	0	0	1.59615	1.59615	0	0	0	0	1.59615	0	0	1.59615	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.701617	1.403234	0.701617	0	0.701617	0	2.104851	0	0	0	0.701617	0	0	0.701617	0	0	0.701617	0.701617	2.104851	0	0	7.717787	0	0	1.403234	0	0	0.701617	0	0.701617	0	0	0	0	0	0	0	0.701617	0	0	0	0	0	0	4.911319	1.403234	0	0	0	1.403234	0	0	0	1.403234	0	2.104851	0	1.403234	0.701617	0	1.403234	0	0	0	0	0	0	0	2.104851	0	0.701617	2.104851	0	0	0	0	0	0	0.701617	0	2.806468	0.701617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.550609	0	0	0.550609	0	1.101218	0	0	3.854263	0	0	0	0.550609	0	0.550609	0	0	1.101218	0.550609	9.360354	0.550609	0	0	0	0	0.550609	1.101218	0	0	0	0	1.101218	0	2.202436	1.651827	0.550609	0	0	1.101218	0	0	0	2.202436	0	0.550609	0.550609	1.101218	0.550609	0	0	0	0.550609	0.550609	0	0	0.550609	0	0	2.202436	0	0	0	0	0	0	0	0	0	1.101218	0.550609	1.101218	0	0.550609	1.101218	0.550609	0.550609	0	0	1.101218	0	0	0	0	0	0.550609	0.550609	0.550609	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1.347306	1.347306	1.347306	0	2.694611	0	1.347306	1.347306	0	0	4.041917	0	1.347306	0	0	1.347306	0	2.694611	0	0	0	0	0	0	0	0	0	0	0	0	5.389222	0	0	0	0	2.694611	0	0	0	0	0	0	0	0	0	1.347306	0	0	0	1.347306	0	0	0	0	0	0	6.736528	1.347306	0	0	0	1.347306	0	0	0	0	0	0	0	0	0	1.347306	1.347306	0	0	0	0	0	0	1.347306	0	0	0	0	0	0	0	0	0	0	1.347306	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1.935866	0	0	0	0	0	0	0	0	0.967933	0	8.711396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.935866	0.967933	0	0	0	0	0.967933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.839664	0	0.967933	1.935866	0	0	0	0.967933	0	0	0	0	0	0	1.935866	0	0	0	0	0	0	0.967933	0	0.967933	0	1.935866	0.967933	0	0	0	0	0.967933	0	0	0	0	0.967933	0	0	0	0
0	1.655286	0	0	0	1.655286	3.310573	0	1.655286	0	1.655286	4.965859	0	0	0	1.655286	0	0	0	1.655286	0	4.965859	0	3.310573	0	0	0	1.655286	0	1.655286	0	0	1.655286	0	1.655286	0	3.310573	1.655286	0	1.655286	0	1.655286	0	0	1.655286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.655286	0	0	0	0	3.310573	0	0	1.655286	1.655286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3.784564	1.261521	0	3.153804	0.630761	3.153804	0	0	0	4.415325	1.261521	0	0	0.630761	0.630761	1.261521	0	0	0.630761	0	3.153804	0	0	0	0	0	0.630761	0	3.784564	0.630761	0	0	0	0.630761	0	0.630761	0	0	0	0.630761	0	0	0.630761	3.784564	0.630761	0	0.630761	0.630761	0.630761	0.630761	1.261521	0.630761	0.630761	0	0.630761	0	0.630761	0	1.892282	0.630761	0.630761	1.261521	0	0	0	0.630761	0	0.630761	0	1.892282	0	0.630761	1.892282	1.261521	0	0	0	1.261521	0	0.630761	0	0	0	0	0	0	0	1.892282	0	0	0	0	0	0	0.630761	0	0	0	0	0
1.816706	0	0	1.816706	0	1.816706	1.816706	1.816706	0	0	0	0	0	0	0	0	0	0	0	0	0	1.816706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.816706	0	0	0	0	0	0	0	0	1.816706	0	0	1.816706	0	0	0	0	3.633413	1.816706	0	0	0	0	0	1.816706	1.816706	0	0	0	0	0	0	0	0	0	1.816706	0	3.633413	0	0	0	0	0	0	0	1.816706	0	0	1.816706	0	0	0	0	0	1.816706	0	0	1.816706	0	0	0	0	0	0
0	0	0	0	0	1.518241	0	0	0	0	0	0	0	0	0	0	0	0	0	1.518241	0	9.109448	0	0	0	0	1.518241	1.518241	1.518241	0	0	0	4.554724	0	0	0	0	0	0	0	0	0	1.518241	0	0	0	0	0	1.518241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.554724	0	0	0	0	0	0	0	0	0	1.518241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1.256369	5.025476	0	0	0	0	0	0	0	0	0	5.025476	0	0	0	1.256369	0	1.256369	1.256369	0	0	0	0	1.256369	0	1.256369	0	1.256369	0	0	0	0	1.256369	0	1.256369	1.256369	0	1.256369	0	0	1.256369	0	1.256369	1.256369	0	0	0	0	0	0	3.769107	0	0	0	0	0	0	1.256369	0	0	3.769107	0	0	0	2.512738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.512738	0	0	0	0	0	0
0	1.67922	0	0	0.83961	1.67922	3.358439	0.83961	0	0	2.518829	0	0	0	0	0	0	0	0	0.83961	0	6.716878	0.83961	1.67922	0.83961	0	0.83961	0	0	0	0	0	0	0	0	0	0.83961	1.67922	0.83961	0	1.67922	0	0.83961	0	2.518829	1.67922	0	0.83961	1.67922	0.83961	0	0	0	0	0.83961	0	0.83961	0.83961	0.83961	0.83961	1.67922	2.518829	0	0.83961	0	0	0	0	0	0.83961	0.83961	0	0	0	2.518829	0	0	0	0.83961	0	0	0	1.67922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67922	0	0
0	2.053503	0.513376	0	0.513376	0.513376	0.513376	0.513376	0	0	1.540127	0.513376	0	0	2.053503	0	1.026751	0.513376	0.513376	0	0	9.240762	0.513376	0.513376	0	0.513376	0	0.513376	0	0	0	1.026751	0	0	1.026751	0	0.513376	0	1.026751	0	0	0.513376	0	0	0	0	0	1.026751	0	2.566878	0	0	0.513376	0	0	0.513376	0	0	0	0	1.540127	0.513376	1.026751	0	0	1.026751	0	0.513376	0	0.513376	0	0	0	0	1.026751	1.026751	0	0	1.540127	0.513376	0.513376	0	0	0	0.513376	0	0	0.513376	0	1.026751	0	0	0	0.513376	0	0	0	0.513376	0	0.513376	0
0	0	0	1.373301	0	0	0	0	0	4.119903	0	4.119903	0	0	0	0	1.373301	0	0	1.373301	0	2.746602	0	0	0	0	0	4.119903	0	1.373301	0	0	1.373301	0	0	1.373301	1.373301	0	0	2.746602	4.119903	0	0	0	0	2.746602	0	0	0	0	0	0	0	0	1.373301	1.373301	0	0	0	0	0	0	1.373301	0	0	0	0	0	0	0	1.373301	0	0	0	0	1.373301	0	0	0	0	0	0	0	0	0	1.373301	1.373301	0	0	0	0	0	0	0	2.746602	0	0	0	0	0	0
0	0	0	1.530436	0	0	0	0	0	0	0	0	0	0	1.530436	0	1.530436	3.060872	0	0	0	3.060872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.060872	0	0	0	0	3.060872	1.530436	0	1.530436	0	0	0	1.530436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.121745	0	0	0	1.530436	1.530436	0	0	1.530436	1.530436	0	0	1.530436	0	0	0	3.060872	1.530436	0	0	0	1.530436	0	0	0	3.060872	3.060872	0	0	0	0	0	0	0	0
0	0	0	0	2.138648	1.069324	0	0	0	0	1.069324	1.069324	2.138648	0	0	0	2.138648	1.069324	0	2.138648	0	7.485266	0	1.069324	0	1.069324	0	0	0	1.069324	0	0	0	0	0	0	0	0	0	1.069324	0	3.207971	0	0	0	0	0	0	0	0	1.069324	0	3.207971	0	0	0	0	0	0	1.069324	0	1.069324	0	0	0	0	0	0	0	0	3.207971	0	1.069324	0	0	0	0	0	2.138648	0	0	2.138648	1.069324	1.069324	0	2.138648	0	1.069324	0	0	0	0	0	0	0	0	0	0	0	0	0
1.54293	1.54293	0	1.54293	0	0	0	0	0	0	1.54293	3.08586	1.54293	0	0	0	1.54293	0	0	3.08586	0	1.54293	1.54293	0	0	0	0	4.628789	0	0	0	0	0	1.54293	0	0	1.54293	0	0	1.54293	0	1.54293	0	0	3.08586	1.54293	0	0	0	0	0	0	0	0	0	0	0	1.54293	0	0	0	0	0	0	0	0	1.54293	0	0	3.08586	0	0	0	0	0	0	0	3.08586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1.518241	0	0	0	0	0	3.036483	1.518241	0	0	0	0	1.518241	6.072965	0	1.518241	0	0	0	0	3.036483	0	1.518241	0	0	1.518241	0	0	0	0	0	0	0	0	1.518241	0	0	0	0	0	6.072965	0	0	0	0	0	0	0	1.518241	0	0	0	1.518241	0	1.518241	0	0	1.518241	1.518241	0	3.036483	0	0	0	0	0	0	0	0	0	1.518241	0	0	0	0	1.518241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.518241	0	0	0	0
0.741667	0.741667	0	0	1.483335	0	2.225002	0	0	0	0.741667	0.741667	0	0	0.741667	0	0.741667	2.225002	0	0.741667	0	1.483335	0	0.741667	0	0	0.741667	1.483335	0.741667	0	0	0	0	0	0	0	0	0.741667	0	0	0.741667	0.741667	0	0	7.416673	0.741667	0	0	0.741667	0	0	0.741667	0	0	0	0	0	0	0.741667	0	0.741667	0.741667	0	1.483335	0	0	0	0.741667	0	0	0.741667	0	0.741667	2.225002	1.483335	0	0	0.741667	0	0	1.483335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.741667	0	0	0	0
0	1.316797	0	0	0.658398	0.658398	0	0	0.658398	0.658398	1.316797	1.975195	0	0	0	0	0	0	1.316797	0	0	2.633593	0	0	0	0	0	1.316797	0	0	0	0.658398	0.658398	0.658398	0	0	0	1.975195	0	0	1.316797	1.316797	0	0	0	1.316797	0	0	1.316797	0	0	0	0	0	0.658398	0	0	0	0	0	0	0.658398	0.658398	0	0	0	0	0	0.658398	0	3.291991	0	0	0.658398	0.658398	0	0	0	0	0	0.658398	0	0	0	0	0	0	0.658398	0	0	0	0	0	0	0.658398	0	0	0	0	0	0
3.633413	0	0	0	0	0	0	0	0	0	0	1.816706	0	0	0	0	0	0	0	1.816706	0	7.266826	1.816706	0	0	0	0	3.633413	1.816706	0	1.816706	0	0	0	0	0	0	0	0	1.816706	0	0	1.816706	0	0	0	0	0	0	1.816706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.816706	0	0	1.816706	0	0	0	0	0	1.816706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.816706	0	0	1.816706	0
0	2.329964	1.164982	0	0	1.164982	0	1.164982	0	0	0	0	0	0	0	0	2.329964	3.494946	0	0	0	2.329964	0	0	0	0	0	1.164982	0	0	0	0	0	1.164982	0	0	0	0	0	0	0	0	0	0	1.164982	2.329964	0	0	0	0	0	2.329964	3.494946	0	0	1.164982	0	1.164982	0	1.164982	0	0	0	0	0	0	0	1.164982	0	0	3.494946	0	0	0	2.329964	1.164982	0	0	2.329964	0	0	1.164982	0	0	0	0	0	2.329964	0	0	0	0	1.164982	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1.284605	0	0	1.284605	1.284605	0	0	0	0	0	0	0	0	0	1.284605	0	1.284605	1.284605	0	0	0	0	0	0	0	0	0	0	0	1.284605	0	0	1.284605	0	0	0	1.284605	3.853816	0	0	2.569211	0	0	3.853816	0	0	0	1.284605	0	0	0	0	0	5.138422	0	1.284605	0	1.284605	0	2.569211	1.284605	0	0	0	0	0	0	1.284605	0	0	1.284605	2.569211	3.853816	0	0	1.284605	0	0	0	0	0	1.284605	0	0	0	3.853816	0	0	2.569211	0	1.284605	0	0	0
0	0	0	0	0	0	0	2.097752	2.097752	0	2.097752	0	4.195504	0	0	0	2.097752	0	0	0	0	6.293256	0	4.195504	2.097752	0	0	2.097752	0	0	0	0	0	0	0	0	0	0	2.097752	0	2.097752	0	0	0	2.097752	0	0	0	0	0	2.097752	0	2.097752	0	0	0	0	0	0	0	0	0	0	0	2.097752	0	2.097752	0	0	2.097752	0	0	0	0	0	2.097752	0	0	0	0	0	0	0	2.097752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1.391491	2.782982	2.782982	0	0	4.174474	2.782982	1.391491	0	2.782982	1.391491	0	1.391491	0	0	0	4.174474	0	0	4.174474	0	0	0	0	0	0	0	0	0	1.391491	0	0	0	0	0	0	0	0	0	1.391491	1.391491	0	1.391491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.174474	2.782982	0	0	1.391491	1.391491	0	0	1.391491	1.391491	0	0	0	0	0	0	0	0	0	0	0	0	1.391491	1.391491	0	0	0	0	0	0	0
0	0	2.944447	0	0	0	1.472223	0	0	1.472223	1.472223	1.472223	1.472223	0	0	1.472223	1.472223	0	0	0	0	1.472223	0	0	0	1.472223	0	1.472223	0	0	0	1.472223	0	1.472223	0	1.472223	1.472223	0	0	0	0	0	0	1.472223	5.888893	1.472223	0	0	1.472223	0	0	0	0	0	0	0	0	0	0	0	0	1.472223	1.472223	0	1.472223	0	1.472223	0	0	0	0	1.472223	0	0	2.944447	0	0	0	1.472223	0	1.472223	0	2.944447	0	1.472223	0	0	0	0	0	0	0	1.472223	0	0	0	0	0	1.472223	0	0
0.895719	2.687157	0.895719	0	0	0	0	0	0	0	0	2.687157	0	0	0	0	0	0.895719	0	0.895719	0	3.582876	0	0	0	0	0.895719	1.791438	0	0	6.270033	0.895719	0	0	0	0	0	0.895719	2.687157	0.895719	0	0	0.895719	0.895719	5.374314	0	0	0	0	0	0.895719	0.895719	0.895719	0.895719	0	0	1.791438	0	0	0	0.895719	0.895719	0.895719	0.895719	0	0	0	0	0	0	0.895719	0.895719	0.895719	0	0.895719	0	0	0	0	0	0	1.791438	0	0	0	0	0	0	0	0	0	0	0	0	0.895719	0	0	0.895719	0	0	0
0	0	0	1.148986	2.297972	1.148986	0	0	0	0	3.446958	1.148986	0	1.148986	1.148986	0	1.148986	0	0	0	0	2.297972	0	0	0	0	0	4.595944	1.148986	1.148986	0	0	0	0	1.148986	3.446958	0	0	0	1.148986	1.148986	0	0	0	6.893916	1.148986	0	1.148986	0	1.148986	0	0	2.297972	0	0	0	1.148986	0	0	0	1.148986	2.297972	0	1.148986	0	0	0	0	0	0	1.148986	0	0	1.148986	0	0	0	0	0	0	0	0	1.148986	1.148986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
